athlete,fis_code,date,location,nation,category,discipline,rank,fis_points,cup_points
조완희,188938,2025-12-07,Mylin,,World Cup,Parallel Giant Slalom,21,100.00,10.00
조완희,188938,2025-12-07,Mylin,,Qualification,Parallel Giant Slalom,21,,
마준호,220950,2025-12-07,Mylin,,Qualification,Parallel Giant Slalom,30,,
변지영,188923,2025-12-07,Trondheim,,World Cup,10 km F,94,127.46,
최흥철,10064,2025-12-07,Kandersteg,,FIS Cup,Normal Hill HS106,59,,
윤신이,258758,2025-12-07,Ruka,,World Cup,Moguls,46,16.70,
마준호,220950,2025-12-07,Mylin,,World Cup,Parallel Giant Slalom,30,32.00,1.00
정해림,156415,2025-12-06,Mylin,,Qualification,Parallel Giant Slalom,30,,
이지예,212563,2025-12-06,"Imatra, Ukonniemi stadion",,FIS,SP 1.4 km F Final,42,,
마준호,220950,2025-12-06,Mylin,,World Cup,Parallel Giant Slalom,DNF,,
이지예,212563,2025-12-06,"Imatra, Ukonniemi stadion",,FIS,SP 1.4 km F Qual,48,424.84,
이동헌,239111,2025-12-06,Beijing,,World Cup,Big Air,38,90.70,
홍승영,188936,2025-12-06,Mylin,,World Cup,Parallel Giant Slalom,29,36.00,2.00
이한희,188824,2025-12-06,Wanlong Ski Resorts,,FIS,Giant Slalom,DNF1,,
유승은,261339,2025-12-06,Beijing,,World Cup,Big Air,7,365.60,36.00
정해림,156415,2025-12-06,Mylin,,World Cup,Parallel Giant Slalom,30,32.00,1.00
김상겸,111837,2025-12-06,Mylin,,World Cup,Parallel Giant Slalom,22,90.00,9.00
박서윤,261321,2025-12-06,Wanlong Ski Resorts,,FIS,Giant Slalom,10,50.41,
장선웅,270266,2025-12-06,Kandersteg,,FIS Cup,Normal Hill HS106,42,,
김동우,163740,2025-12-06,Wanlong Ski Resorts,,FIS,Giant Slalom,14,50.69,
제상미,195562,2025-12-06,Planica,,FESA Cup,10 km C,48,205.94,
김소희,177571,2025-12-06,Wanlong Ski Resorts,,FIS,Giant Slalom,1,23.00,
정종원,136287,2025-12-06,"Imatra, Ukonniemi stadion",,FIS,SP 1.4 km F Qual,53,314.91,
최흥철,10064,2025-12-06,Kandersteg,,FIS Cup,Normal Hill HS106,76,,
이의진,221223,2025-12-06,Trondheim,,World Cup,Skiathlon 10/10km C/F,58,,
신정우,203604,2025-12-06,Wanlong Ski Resorts,,FIS,Giant Slalom,2,25.39,
이상호,163744,2025-12-06,Mylin,,World Cup,Parallel Giant Slalom,9,290.00,29.00
이상호,163744,2025-12-06,Mylin,,Qualification,Parallel Giant Slalom,2,,
조완희,188938,2025-12-06,Mylin,,World Cup,Parallel Giant Slalom,38,19.10,
홍동관,163737,2025-12-06,Wanlong Ski Resorts,,FIS,Giant Slalom,1,24.91,
조완희,188938,2025-12-06,Mylin,,Qualification,Parallel Giant Slalom,38,,
정민식,189170,2025-12-06,Wanlong Ski Resorts,,FIS,Giant Slalom,13,48.45,
변지영,188923,2025-12-06,Trondheim,,World Cup,Skiathlon 10/10km C/F,87,,
이건용,154934,2025-12-06,"Imatra, Ukonniemi stadion",,FIS,SP 1.4 km F Final,39,,
이준서,229479,2025-12-06,Trondheim,,World Cup,Skiathlon 10/10km C/F,85,236.99,
홍승영,188936,2025-12-06,Mylin,,Qualification,Parallel Giant Slalom,29,,
마준호,220950,2025-12-06,Mylin,,Qualification,Parallel Giant Slalom,DNF,,
정종원,136287,2025-12-06,"Imatra, Ukonniemi stadion",,FIS,SP 1.4 km F Final,44,,
김상겸,111837,2025-12-06,Mylin,,Qualification,Parallel Giant Slalom,22,,
정동현,93945,2025-12-06,Wanlong Ski Resorts,,FIS,Giant Slalom,3,25.47,
이건용,154934,2025-12-06,"Imatra, Ukonniemi stadion",,FIS,SP 1.4 km F Qual,43,279.01,
한다솜,162284,2025-12-05,Trondheim,,World Cup,Sprint C Final Final,71,,
유승은,261339,2025-12-05,Beijing,,Qualification,Big Air,4,,
제상미,195562,2025-12-05,Planica,,FESA Cup,"SP 1,3 km F Final",52,,
제상미,195562,2025-12-05,Planica,,FESA Cup,"SP 1,3 km F Qual",52,371.69,
한다솜,162284,2025-12-05,Trondheim,,Sprint Qualification,Sprint C Qual Qual,71,225.02,
이동헌,239111,2025-12-05,Beijing,,Qualification,Big Air,21,,
이진복,229490,2025-12-05,Planica,,FESA Cup,"SP 1,3 km F Final",DNS,,
이진복,229490,2025-12-05,Planica,,FESA Cup,"SP 1,3 km F Qual",DNS,,
한다솜,162284,2025-11-30,Ruka,,World Cup,20 km F Mst,64,300.93,
이준서,229479,2025-11-30,Ruka,,World Cup,20 km F Mst,97,238.72,
변지영,188923,2025-11-30,Ruka,,World Cup,20 km F Mst,93,177.13,
이동헌,239111,2025-11-29,Secret Garden,,World Cup,Big Air,47,55.30,
유승은,261339,2025-11-29,Secret Garden,,World Cup,Big Air,26,35.80,5.00
이준서,229479,2025-11-28,Ruka,,World Cup,10 km C,92,141.78,
이의진,221223,2025-11-28,Ruka,,World Cup,10 km C,69,135.79,
변지영,188923,2025-11-28,Ruka,,World Cup,10 km C,93,144.45,
우수빈,229485,2025-11-27,Pitztal,,European Cup,Snowboard Cross,30,11.52,3.00
이동헌,239111,2025-11-27,Secret Garden,,Qualification,Big Air,20,,
유승은,261339,2025-11-27,Secret Garden,,Qualification,Big Air,26,,
정동현,93945,2025-11-16,Levi,,World Cup,Slalom,DNF1,,
이의진,221223,2025-11-16,"Olos, Muonio",,FIS,10 km F,58,170.50,
이준서,229479,2025-11-16,"Olos, Muonio",,FIS,10 km F,113,216.63,
한다솜,162284,2025-11-16,"Olos, Muonio",,FIS,10 km F,55,160.73,
변지영,188923,2025-11-16,"Olos, Muonio",,FIS,10 km F,104,189.50,
변지영,188923,2025-11-15,"Olos, Muonio",,FIS,10 km C,122,154.24,
이의진,221223,2025-11-15,"Olos, Muonio",,FIS,10 km C,80,204.37,
한다솜,162284,2025-11-15,"Olos, Muonio",,FIS,10 km C,73,186.81,
이준서,229479,2025-11-15,"Olos, Muonio",,FIS,10 km C,101,117.47,
신정우,203604,2025-10-26,Soelden,,World Cup,Giant Slalom,DNF1,,
최흥철,10064,2025-10-25,Klingenthal,,Qualification,Large Hill HS140,68,,
최흥철,10064,2025-10-19,Hinzenbach,,Grand Prix,Normal Hill HS90,46,,
최흥철,10064,2025-10-18,Hinzenbach,,Qualification,Normal Hill HS90,51,,
신영섭,233691,2025-10-03,Cardrona Alpine Resort,,Australian New Zealand Cup,Freeski Big Air,DNS,,
신영섭,233691,2025-10-01,Cardrona Alpine Resort,,Australian New Zealand Cup,Freeski Slopestyle,DNS,,
이승훈,235622,2025-09-29,Cardrona Alpine Resort,,Australian New Zealand Cup,Freeski Halfpipe,DNS,,
김다은,235623,2025-09-29,Cardrona Alpine Resort,,Australian New Zealand Cup,Freeski Halfpipe,DNS,,
장선웅,270266,2025-09-28,Hinterzarten,,Continental Cup,Normal Hill HS109,41,,
최흥철,10064,2025-09-28,Hinterzarten,,Continental Cup,Normal Hill HS109,59,,
장선웅,270266,2025-09-27,Hinterzarten,,Continental Cup,Normal Hill HS109,NPS,,
최흥철,10064,2025-09-27,Hinterzarten,,Continental Cup,Normal Hill HS109,61,,
우수빈,229485,2025-09-21,"Cerro Castor, Ushuaia",,South American Cup,Snowboard Cross,7,86.40,36.00
우수빈,229485,2025-09-20,"Cerro Castor, Ushuaia",,South American Cup,Snowboard Cross,17,50.40,16.00
최흥철,10064,2025-09-19,Val Di Fiemme,,Qualification,Large Hill HS143,66,,
최흥철,10064,2025-09-18,Val Di Fiemme,,Grand Prix,Normal Hill HS109,66,,
최흥철,10064,2025-09-14,Rasnov,,Grand Prix,Normal Hill HS97,47,,
장선웅,270266,2025-09-13,Einsiedeln,,FIS Cup,Large Hill HS117,19,,
최흥철,10064,2025-09-13,Rasnov,,Grand Prix,Normal Hill HS97,41,,
신정우,203604,2025-09-08,Coronet Peak,,Australian New Zealand Cup,Slalom,DNS1,,
최흥철,10064,2025-09-07,Ljubno ob Savinji,,FIS Cup,Normal Hill HS94,34,,
정종원,136287,2025-09-07,Schuchinsk,,Roller Ski Asian Cup,20 km C Mst,39,209.43,
제상미,195562,2025-09-07,Schuchinsk,,Roller Ski Asian Cup,16 km C Mst,19,237.59,12
장선웅,270266,2025-09-07,Ljubno ob Savinji,,FIS Cup,Normal Hill HS94,33,,
이건용,154934,2025-09-07,Schuchinsk,,Roller Ski Asian Cup,20 km C Mst,8,79.15,32
이지예,212563,2025-09-07,Schuchinsk,,Roller Ski Asian Cup,16 km C Mst,DNF,,
이진복,229490,2025-09-07,Schuchinsk,,Roller Ski Asian Cup,20 km C Mst,31,168.26,
제상미,195562,2025-09-06,Schuchinsk,,Roller Ski Asian Cup,SP 0.2 km F Final,27,,4
이지예,212563,2025-09-06,Schuchinsk,,Roller Ski Asian Cup,SP 0.2 km F Final,18,,13
제상미,195562,2025-09-06,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,28,,
신정우,203604,2025-09-06,Coronet Peak,,Australian New Zealand Cup,Giant Slalom,DNF2,,
이진복,229490,2025-09-06,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,11,,
정종원,136287,2025-09-06,Schuchinsk,,Roller Ski Asian Cup,SP 0.2 km F Final,10,,26
정종원,136287,2025-09-06,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,9,,2
장선웅,270266,2025-09-06,Ljubno ob Savinji,,FIS Cup,Normal Hill HS94,23,,
이진복,229490,2025-09-06,Schuchinsk,,Roller Ski Asian Cup,SP 0.2 km F Final,8,,32
이지예,212563,2025-09-06,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,19,,
이건용,154934,2025-09-06,Schuchinsk,,Roller Ski Asian Cup,SP 0.2 km F Final,4,,50
이건용,154934,2025-09-06,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,10,,1
최흥철,10064,2025-09-06,Ljubno ob Savinji,,FIS Cup,Normal Hill HS94,49,,
이지예,212563,2025-09-05,Schuchinsk,,Roller Ski Asian Cup,5 km F,17,180.15,14
제상미,195562,2025-09-05,Schuchinsk,,Roller Ski Asian Cup,5 km F,20,185.50,11
정종원,136287,2025-09-05,Schuchinsk,,Roller Ski Asian Cup,10 km F,20,121.04,11
이진복,229490,2025-09-05,Schuchinsk,,Roller Ski Asian Cup,10 km F,46,168.37,
이건용,154934,2025-09-05,Schuchinsk,,Roller Ski Asian Cup,10 km F,21,122.06,10
정종원,136287,2025-09-04,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,45,283.69,
정종원,136287,2025-09-04,Schuchinsk,,Roller Ski Asian Cup,SP 1.2 km C Final,45,,
이지예,212563,2025-09-04,Schuchinsk,,Roller Ski Asian Cup,SP 1.2 km C Final,27,,4
이지예,212563,2025-09-04,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,19,335.96,
이건용,154934,2025-09-04,Schuchinsk,,Roller Ski Asian Cup,SP 1.2 km C Final,13,,20
이건용,154934,2025-09-04,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,2,176.28,12
제상미,195562,2025-09-04,Schuchinsk,,Roller Ski Asian Cup,SP 1.2 km C Final,25,,6
이진복,229490,2025-09-04,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,43,280.83,
이진복,229490,2025-09-04,Schuchinsk,,Roller Ski Asian Cup,SP 1.2 km C Final,43,,
제상미,195562,2025-09-04,Schuchinsk,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,28,371.04,
신정우,203604,2025-09-03,Coronet Peak,,Australian New Zealand Cup,Giant Slalom,21,44.95,10
신정우,203604,2025-09-02,Coronet Peak,,National Championships,Giant Slalom,14,49.15,
신정우,203604,2025-09-01,Coronet Peak,,National Championships,Slalom,DNF1,,
최흥철,10064,2025-08-31,SZCZYRK-SkaliteRK,,FIS Cup,Normal Hill HS104,65,,
장선웅,270266,2025-08-31,SZCZYRK-SkaliteRK,,FIS Cup,Normal Hill HS104,56,,
장선웅,270266,2025-08-30,SZCZYRK-SkaliteRK,,FIS Cup,Normal Hill HS104,45,,
최흥철,10064,2025-08-30,SZCZYRK-SkaliteRK,,FIS Cup,Normal Hill HS104,53,,
신정우,203604,2025-08-22,Mount Hutt,,Australian New Zealand Cup,Slalom,DNF1,,
신정우,203604,2025-08-21,Mount Hutt,,Australian New Zealand Cup,Slalom,16,41.55,15
신정우,203604,2025-08-18,Mount Hutt,,Australian New Zealand Cup,Giant Slalom,17,46.35,14
홍동관,163737,2025-08-18,Mount Hutt,,Australian New Zealand Cup,Giant Slalom,DNF1,,
박서윤,261321,2025-08-12,Treble Cone,,FIS,Slalom,10,92.49,
이의진,221223,2025-08-11,Hanawa,,Roller Ski,7.5 km F,11,136.51,
한다솜,162284,2025-08-11,Hanawa,,Roller Ski,7.5 km F,16,144.42,
변지영,188923,2025-08-11,Hanawa,,Roller Ski,10 km F,18,122.77,
이준서,229479,2025-08-11,Hanawa,,Roller Ski,10 km F,33,143.22,
이준서,229479,2025-08-10,Hanawa,,Roller Ski,10 km C,11,116.05,
한다솜,162284,2025-08-10,Hanawa,,Roller Ski,7.5 km C,9,126.22,
변지영,188923,2025-08-10,Hanawa,,Roller Ski,10 km C,6,107.03,
이의진,221223,2025-08-10,Hanawa,,Roller Ski,7.5 km C,8,110.43,
박서윤,261321,2025-08-08,Treble Cone,,National Junior Championships,Slalom,DNF2,,
이진복,229490,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,15 km C Mst,DNS,,
박서윤,261321,2025-08-06,Treble Cone,,FIS,Slalom,DNF1,,
한다솜,162284,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,10 km C Mst,2,118.68,80
변지영,188923,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,15 km C Mst,5,100.21,45
이지예,212563,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,10 km C Mst,11,235.62,24
정종원,136287,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,15 km C Mst,9,104.42,29
제상미,195562,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,10 km C Mst,6,198.15,40
이의진,221223,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,10 km C Mst,4,127.09,50
이준서,229479,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,15 km C Mst,3,96.67,60
이건용,154934,2025-08-06,Pyeongchang,,Roller Ski Asian Cup,15 km C Mst,2,96.60,80
한다솜,162284,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,10 km F,2,142.62,80
제상미,195562,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,10 km F,6,175.87,40
정종원,136287,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,15 km F,4,105.48,50
변지영,188923,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,15 km F,1,82.42,100
이건용,154934,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,15 km F,2,94.74,80
이준서,229479,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,15 km F,7,119.80,36
이지예,212563,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,10 km F,10,198.06,26
이진복,229490,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,15 km F,DNF,,
이의진,221223,2025-08-05,Pyeongchang,,Roller Ski Asian Cup,10 km F,5,170.34,45
이지예,212563,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,7,331.45,4
정종원,136287,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,9,,29
제상미,195562,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,11,361.93,
제상미,195562,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,14,,18
이의진,221223,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,3,,60
이지예,212563,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,7,,36
이의진,221223,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,6,325.09,5
변지영,188923,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,3,,60
변지영,188923,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,3,347.14,10
정종원,136287,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,8,384.09,3
이건용,154934,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,1,317.18,15
이건용,154934,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,1,,100
이진복,229490,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,5,361.81,6
한다솜,162284,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,3,302.86,10
한다솜,162284,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,5,,45
이준서,229479,2025-08-04,Pyeongchang,,Roller Ski Sprint Qualification Asia Cup,SP 1 km C Qual,2,342.44,12
이준서,229479,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,6,,40
이진복,229490,2025-08-04,Pyeongchang,,Roller Ski Asian Cup,SP 1 km C Final,7,,36
이건용,154934,2025-07-06,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,1,363.98,15
이건용,154934,2025-07-06,Kaeng Krachan Circuit,,Roller Ski Asian Cup,SP 0.2 km F Final,1,,100
이진복,229490,2025-07-06,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,2,392.58,12
정종원,136287,2025-07-06,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,DNS,,
제상미,195562,2025-07-06,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,DNS,,
이지예,212563,2025-07-06,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 0.2 km F Qual,DNS,,
이진복,229490,2025-07-06,Kaeng Krachan Circuit,,Roller Ski Asian Cup,SP 0.2 km F Final,2,,80
이진복,229490,2025-07-05,Kaeng Krachan Circuit,,Roller Ski Asian Cup,16 km C Mst,5,152.56,45
이지예,212563,2025-07-05,Kaeng Krachan Circuit,,Roller Ski Asian Cup,16 km C Mst,DNS,,
정종원,136287,2025-07-05,Kaeng Krachan Circuit,,Roller Ski Asian Cup,16 km C Mst,7,153.95,36
제상미,195562,2025-07-05,Kaeng Krachan Circuit,,Roller Ski Asian Cup,16 km C Mst,2,179.61,80
이건용,154934,2025-07-05,Kaeng Krachan Circuit,,Roller Ski Asian Cup,16 km C Mst,1,150.98,100
정종원,136287,2025-07-04,Kaeng Krachan Circuit,,Roller Ski Asian Cup,12 km F,2,106.71,80
이건용,154934,2025-07-04,Kaeng Krachan Circuit,,Roller Ski Asian Cup,12 km F,1,85.05,100
제상미,195562,2025-07-04,Kaeng Krachan Circuit,,Roller Ski Asian Cup,12 km F,2,182.36,80
이지예,212563,2025-07-04,Kaeng Krachan Circuit,,Roller Ski Asian Cup,12 km F,8,273.46,32
이진복,229490,2025-07-04,Kaeng Krachan Circuit,,Roller Ski Asian Cup,12 km F,4,141.18,50
정종원,136287,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,7,365.71,4
이건용,154934,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Asian Cup,SP 1.2 km C Final,2,,80
이건용,154934,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,1,278.57,15
이진복,229490,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Asian Cup,SP 1.2 km C Final,11,,24
이지예,212563,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,8,534.95,3
이지예,212563,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Asian Cup,SP 1.2 km C Final,8,,32
이진복,229490,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,3,334.10,10
제상미,195562,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Sprint Qualification Asia Cup,SP 1.2 km C Qual,5,475.34,6
정종원,136287,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Asian Cup,SP 1.2 km C Final,7,,36
제상미,195562,2025-07-03,Kaeng Krachan Circuit,,Roller Ski Asian Cup,SP 1.2 km C Final,7,,36
김동우,163740,2025-04-18,Okutadami,,FIS,Slalom,1,24.55,
김동우,163740,2025-04-17,Okutadami,,FIS,Slalom,2,26.06,
박서윤,261321,2025-04-13,Hachimantai,,FIS,Slalom,8,59.61,
김동우,163740,2025-04-13,Hachimantai,,FIS,Slalom,2,27.16,
최태희,263315,2025-04-13,Reiteralm,,FIS,Slalom,DNF1,,
이한희,188824,2025-04-12,Myoko,,FIS,Giant Slalom,DNF1,,
박제윤,154866,2025-04-12,Myoko,,FIS,Giant Slalom,5,47.65,
김소희,177571,2025-04-12,Myoko,,FIS,Giant Slalom,2,28.41,
박서윤,261321,2025-04-12,Hachimantai,,FIS,Slalom,5,63.72,
정민식,189170,2025-04-12,Myoko,,FIS,Giant Slalom,DNF1,,
홍동관,163737,2025-04-12,Myoko,,FIS,Giant Slalom,DNF1,,
우수빈,229485,2025-04-12,Mt St. Anne,,Nor-Am Cup,Snowboard Cross,17,40.60,16.00
김동우,163740,2025-04-12,Hachimantai,,FIS,Slalom,8,36.90,
우수빈,229485,2025-04-11,Mt St. Anne,,Nor-Am Cup,Snowboard Cross,12,63.80,22.00
박서윤,261321,2025-04-10,Nozawa Onsen,,FIS,Slalom,DNF1,,
이한희,188824,2025-04-10,Nozawa Onsen,,FIS,Slalom,7,34.79,
정민식,189170,2025-04-10,Nozawa Onsen,,FIS,Slalom,5,34.52,
홍동관,163737,2025-04-10,Nozawa Onsen,,FIS,Slalom,DNF1,,
김동우,163740,2025-04-10,Nozawa Onsen,,FIS,Slalom,22,46.49,
정민식,189170,2025-04-09,Nozawa Onsen,,FIS,Slalom,8,32.41,
박서윤,261321,2025-04-09,Nozawa Onsen,,FIS,Slalom,19,57.16,
홍동관,163737,2025-04-09,Nozawa Onsen,,FIS,Slalom,7,32.23,
이한희,188824,2025-04-09,Nozawa Onsen,,FIS,Slalom,9,32.96,
김동우,163740,2025-04-09,Nozawa Onsen,,FIS,Slalom,6,32.14,
이지오,261333,2025-04-08,Corvatsch,,European Cup,Halfpipe,3,172.20,60.00
박서윤,261321,2025-04-08,Nozawa Onsen,,FIS,Giant Slalom,10,46.20,
최태희,263315,2025-04-08,Cavalese - Alpe Cermis,,FIS,Slalom,7,33.91,
김동우,163740,2025-04-08,Nozawa Onsen,,FIS,Giant Slalom,1,23.00,
홍동관,163737,2025-04-08,Nozawa Onsen,,FIS,Giant Slalom,6,34.34,
최태희,263315,2025-04-07,Cavalese - Alpe Cermis,,FIS,Slalom,17,62.42,
박서윤,261321,2025-04-07,Nozawa Onsen,,FIS,Giant Slalom,8,46.26,
홍승영,188936,2025-04-06,Bansko,,National Championships,Parallel Slalom,2,232.00,
우수빈,229485,2025-04-06,Mt. St. Anne,,World Cup,Snowboard Cross,20,110.00,13.00
우수빈,229485,2025-04-05,Mt. St. Anne,,Qualification,Snowboard Cross,21,,
홍승영,188936,2025-04-05,Bansko,,National Championships,Parallel Giant Slalom,10,75.40,
홍승영,188936,2025-04-05,Cortina d Ampezzo,,National Championships,Parallel Slalom,DNS,,
최태희,263315,2025-04-05,Santa Caterina,,National Championships,Slalom,DNF1,,
우수빈,229485,2025-04-05,Mt. St. Anne,,World Cup,Snowboard Cross,21,100.00,12.00
최태희,263315,2025-04-04,Santa Caterina,,National Junior Championships,Slalom,DNF2,,
최태희,263315,2025-04-02,Hochfügen,,National Championships,Slalom,DNF2,,
문희성,239278,2025-03-30,Engadin,,World Championships,Freeski Halfpipe,21,13.70,
장유진,203633,2025-03-30,Engadin,,World Championships,Freeski Halfpipe,17,19.00,
김건희,261977,2025-03-29,Engadin,,World Championships,Halfpipe,6,423.20,
이지오,261333,2025-03-29,Engadin,,World Championships,Halfpipe,10,254.10,
최가온,264594,2025-03-29,Engadin,,World Championships,Halfpipe,12,191.90,
홍승영,188936,2025-03-29,Krvavec,,National Championships,Giant Slalom,3,174.00,
정해림,156415,2025-03-29,Krvavec,,National Championships,Giant Slalom,9,63.80,
이나윤,212759,2025-03-29,Engadin,,World Championships,Halfpipe,21,62.20,
우수빈,229485,2025-03-28,Engadin,,World Championships,Snowboard Cross,27,,
문희성,239278,2025-03-28,Engadin,,Qualification,Freeski Halfpipe,21,,
장유진,203633,2025-03-28,Engadin,,Qualification,Freeski Halfpipe,17,,
우수빈,229485,2025-03-27,Engadin,,Qualification,Snowboard Cross,27,,
이지오,261333,2025-03-27,Engadin,,Qualification,Halfpipe,12,,
최가온,264594,2025-03-27,Engadin,,Qualification,Halfpipe,2,,
이나윤,212759,2025-03-27,Engadin,,Qualification,Halfpipe,21,,
김건희,261977,2025-03-27,Engadin,,Qualification,Halfpipe,10,,
최태희,263315,2025-03-24,Nukabira Gensenkyo,,FIS,Giant Slalom,5,37.48,
박서윤,261321,2025-03-24,Nukabira Gensenkyo,,FIS,Giant Slalom,17,58.60,
김동우,163740,2025-03-24,Nukabira Gensenkyo,,FIS,Giant Slalom,2,29.29,
최태희,263315,2025-03-23,Nukabira Gensenkyo,,National Junior Championships,Giant Slalom,10,43.40,
이상호,163744,2025-03-23,Engadin,,World Championships,Parallel Team,13,,
박서윤,261321,2025-03-23,Nukabira Gensenkyo,,National Junior Championships,Giant Slalom,12,47.63,
김동우,163740,2025-03-23,Nukabira Gensenkyo,,National Junior Championships,Giant Slalom,2,28.56,
변지영,188923,2025-03-23,Lahti,,World Cup,50 km C Mst,64,,
정해림,156415,2025-03-23,Engadin,,World Championships,Parallel Team,13,,
정해림,156415,2025-03-23,Engadin,,Qualification,Parallel Team,13,,
이상호,163744,2025-03-23,Engadin,,Qualification,Parallel Team,13,,
홍승영,188936,2025-03-22,Engadin,,World Championships,Parallel Slalom,19,120.00,
이준서,229479,2025-03-22,Lahti,,Team Sprint Qualification,Team Sprint Qualification F,32,,
이준서,229479,2025-03-22,Lahti,,World Cup,Team Sprint F,32,,
홍승영,188936,2025-03-22,Engadin,,Qualification,Parallel Slalom,19,,
이의진,221223,2025-03-22,Lahti,,World Cup,Team Sprint F,23,,
변지영,188923,2025-03-22,Lahti,,Team Sprint Qualification,Team Sprint Qualification F,32,,
김상겸,111837,2025-03-22,Engadin,,Qualification,Parallel Slalom,24,,
정해림,156415,2025-03-22,Engadin,,World Championships,Parallel Slalom,24,70.00,
이의진,221223,2025-03-22,Lahti,,Team Sprint Qualification,Team Sprint Qualification F,23,,
이상호,163744,2025-03-22,Engadin,,World Championships,Parallel Slalom,7,360.00,
이상호,163744,2025-03-22,Engadin,,Qualification,Parallel Slalom,11,,
김상겸,111837,2025-03-22,Engadin,,World Championships,Parallel Slalom,24,70.00,
변지영,188923,2025-03-22,Lahti,,World Cup,Team Sprint F,32,,
한다솜,162284,2025-03-22,Lahti,,Team Sprint Qualification,Team Sprint Qualification F,23,,
한다솜,162284,2025-03-22,Lahti,,World Cup,Team Sprint F,23,,
마준호,220950,2025-03-22,Engadin,,World Championships,Parallel Slalom,37,19.40,
